"時間戳記","請問您目前的身份是？","若您為在校生，請問您目前的年級為？","請問您在校內主要的移動方式／交通工具為何？","騎乘交通工具行經椰林大道時，您通常會選擇以下何種路線？","請問您對於以下敘述的認同程度？ [機動車輛的行駛路線經常變動，使我難以維持原有的騎乘路線]","請問您對於以下敘述的認同程度？ [椰林大道上的機動車輛使我被迫加速]","請問您對於以下敘述的認同程度？ [椰林大道上的機動車輛使我騎乘交通工具時感到危險]","您在椰林大道「發生車禍」的頻率？","您在椰林大道「幾乎要發生車禍，但是因閃避即時而未有事故」的頻率？","若您曾經在椰林大道上發生／即將發生過車禍，歡迎您提供當下狀況的簡短描述及改善意見：","我認為「縮減機動車的車道寬度」有助於改善交通工具騎士的安全","我認為「縮減機動車的車道寬度」有助於改善行人的安全","承上題，若您認為縮減機動車道寬度有助於改善騎士／行人安全，則您覺得以下何種方法較適當？","步行經過椰林大道時，您通常會選擇以下何種路線？","若您前一題選擇「椰子樹下的磚造人行道」以外的選項，原因是？","請問您對於以下敘述的認同程度？ [我必須要時時注意路況，才不會被自行車／機動車撞到]","請問您對於以下敘述的認同程度？ [我經常被突然竄出的自行車／機動車嚇到]","若您曾經在椰林大道與各式交通工具發生車禍，歡迎您提供當下狀況的簡短描述及改善意見：","請問您對於以下敘述的認同程度？ [目前椰林大道的夜間照明足夠讓我看清楚路上的來車]","請問您對於以下敘述的認同程度？ [目前椰林大道的夜間照明足夠讓我感到安心]","您對於椰林大道交通的任何想法？","您對於校內整體交通環境的任何想法？"
"2021/01/17 8:08:42 下午 GMT+8","台大教職員工","非學生","開車","③ 主線柏油路，靠中央的黃色虛線騎乘","5","5","5","幾乎不曾遇過","幾乎不曾遇過","","5","5","劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","人行道路寬過小","5","5","","1","1","",""
"2021/01/17 8:13:02 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","1","1","幾乎不曾遇過","偶爾（每半年一次以上）","","3","1","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","① ② ③ 主線柏油路","人行道路寬過小;過馬路比較方便 而且人行道曬不到太陽","1","1","","4","4","",""
"2021/01/17 8:13:22 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","5","4","幾乎不曾遇過","偶爾（每半年一次以上）","","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","3","3","","5","5","對車子沒用只對腳踏車有影響的減速線可以全鏟掉",""
"2021/01/17 8:14:08 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","5","4","幾乎不曾遇過","幾乎不曾遇過","","4","4","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重;人行道路寬過小","2","2","","5","5","",""
"2021/01/17 8:16:09 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","5","5","幾乎不曾遇過","偶爾（每半年一次以上）","","2","3","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","沒有特殊原因","3","4","","4","3","關於那個用顏色區分車道的方法，有時候校車停在那裡，腳踏車就得騎到車道中央阿，所以不太可能一直固定騎在限定顏色的範圍內",""
"2021/01/17 8:16:14 下午 GMT+8","台科大／台師大／國北教大學生","大學部二年級","步行，且幾乎不使用交通工具","","","","","","","","3","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","5","5","","3","4","",""
"2021/01/17 8:18:02 下午 GMT+8","台大學生","大學部一年級","步行，偶爾使用公共交通工具","② 主線柏油路，在車道正中央騎乘","5","5","5","幾乎不曾遇過","經常（每月一次以上）","同學都併排騎車，在路中間四台慢行的自行車根本就是移動路障","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","","3","3","不要併排騎車","4","4","","腳踏車該管制"
"2021/01/17 8:20:01 下午 GMT+8","台大教職員工","非學生","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","4","5","幾乎不曾遇過","偶爾（每半年一次以上）","岔路處的自行車未注意椰林大道的車子硬轉彎","3","4","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","① ② ③ 主線柏油路","人行道路寬過小","5","4","","4","4","",""
"2021/01/17 8:20:33 下午 GMT+8","台大學生","大學部一年級","步行，且幾乎不使用交通工具","","","","","","","","4","2","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","","3","3","","4","3","",""
"2021/01/17 8:20:42 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","4","2","幾乎不曾遇過","幾乎不曾遇過","","4","4","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重;人行道路寬過小;有時候要牽車跟朋友一起走，會太窄小，也不確定那邊是否是能牽車的。但主要還是下雨天積水太太太嚴重。","4","4","","5","5","",""
